,SDK Installer,SDK Binaries,Runtime Installer,Runtime Binaries,ASP.NET Core Runtime,Windows Desktop Runtime,Scraped Date,Package name,Version
Download Table,,,,,,,,,
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.iossimulator-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.iossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.tvossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.browser-wasm.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.linux-musl-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.LLVM.AOT.linux-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.linux-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.wasi-wasm.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.NativeAOT.iossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.NativeAOT.tvossimulator-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-x64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.win-x86.Msi.arm64,8.0.0
,,,,,,,14-10-2025,runtime.linux-arm64.Microsoft.DotNet.ILCompiler,8.0.0
,,,,,,,14-10-2025,Microsoft.Win32.SystemEvents,8.0.0
,,,,,,,14-10-2025,runtime.linux-arm.Microsoft.NETCore.DotNetAppHost,8.0.0
,,,,,,,14-10-2025,runtime.linux-arm.Microsoft.NETCore.ILDAsm,8.0.0
,,,,,,,14-10-2025,runtime.linux-arm64.Microsoft.NETCore.ILAsm,8.0.0
,,,,,,,14-10-2025,runtime.linux-bionic-arm64.Microsoft.NETCore.DotNetAppHost,8.0.0
,,,,,,,14-10-2025,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetAppHost,8.0.0
,,,,,,,14-10-2025,runtime.linux-bionic-arm64.Microsoft.NETCore.DotNetHostResolver,8.0.0
,,,,,,,14-10-2025,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetHostPolicy,8.0.0
,,,,,,,14-10-2025,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,runtime.win-x64.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,System.DirectoryServices.AccountManagement,8.0.0
,,,,,,,14-10-2025,System.DirectoryServices,8.0.0
,,,,,,,14-10-2025,System.IO.Hashing,8.0.0
,,,,,,,14-10-2025,System.DirectoryServices.Protocols,8.0.0
,,,,,,,14-10-2025,System.IO.Packaging,8.0.0
,,,,,,,14-10-2025,System.Reflection.MetadataLoadContext,8.0.0
,,,,,,,14-10-2025,System.Management,8.0.0
,,,,,,,14-10-2025,System.Memory.Data,8.0.0
,,,,,,,14-10-2025,Microsoft.Bcl.TimeProvider,8.0.0
,,,,,,,14-10-2025,Microsoft.DotNet.ILCompiler,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Caching.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Caching.Memory,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Configuration.Binder,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Configuration,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Hosting.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.Configuration,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.Debug,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.EventSource,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.EventLog,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Options.ConfigurationExtensions,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoAOTCompiler.Task.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoTargets.Sdk,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoTargets.Sdk.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Sdk.WebAssembly.Pack,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Wasi.Sdk.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.linux-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.browser-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.tvossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.browser-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.browser-wasm.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.browser-wasm.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.LLVM.AOT.linux-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.LLVM.AOT.osx-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.osx-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-arm64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-arm64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.wasi-wasm.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.NativeAOT.maccatalyst-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.NativeAOT.tvos-arm64,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-arm.Microsoft.NETCore.ILAsm,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-x64.Microsoft.DotNet.ILCompiler,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-arm64.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,runtime.osx-x64.Microsoft.NETCore.DotNetHostPolicy,8.0.0
,,,,,,,14-10-2025,runtime.osx-arm64.Microsoft.DotNet.ILCompiler,8.0.0
,,,,,,,14-10-2025,runtime.linux-x64.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,runtime.osx-arm64.Microsoft.NETCore.DotNetHostPolicy,8.0.0
,,,,,,,14-10-2025,runtime.osx-x64.Microsoft.NETCore.DotNetAppHost,8.0.0
,,,,,,,14-10-2025,runtime.osx-arm64.Microsoft.NETCore.ILAsm,8.0.0
,,,,,,,14-10-2025,runtime.osx-arm64.runtime.native.System.IO.Ports,8.0.0
,,,,,,,14-10-2025,runtime.osx-x64.Microsoft.NETCore.DotNetHostResolver,8.0.0
,,,,,,,14-10-2025,runtime.osx-x64.runtime.native.System.IO.Ports,8.0.0
,,,,,,,14-10-2025,runtime.win-arm64.Microsoft.NETCore.DotNetAppHost,8.0.0
,,,,,,,14-10-2025,runtime.win-x86.Microsoft.NETCore.ILAsm,8.0.0
,,,,,,,14-10-2025,runtime.win-x86.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,runtime.win-x86.Microsoft.NETCore.DotNetHostPolicy,8.0.0
,,,,,,,14-10-2025,System.Configuration.ConfigurationManager,8.0.0
,,,,,,,14-10-2025,runtime.win-x86.Microsoft.NETCore.ILDAsm,8.0.0
,,,,,,,14-10-2025,System.CodeDom,8.0.0
,,,,,,,14-10-2025,System.ComponentModel.Composition,8.0.0
,,,,,,,14-10-2025,System.Collections.Immutable,8.0.0
,,,,,,,14-10-2025,System.ComponentModel.Composition.Registration,8.0.0
,,,,,,,14-10-2025,System.Composition,8.0.0
,,,,,,,14-10-2025,System.Diagnostics.EventLog,8.0.0
,,,,,,,14-10-2025,System.Composition.AttributedModel,8.0.0
,,,,,,,14-10-2025,System.Composition.Convention,8.0.0
,,,,,,,14-10-2025,System.Data.OleDb,8.0.0
,,,,,,,14-10-2025,System.Data.Odbc,8.0.0
,,,,,,,14-10-2025,System.Diagnostics.DiagnosticSource,8.0.0
,,,,,,,14-10-2025,System.Diagnostics.PerformanceCounter,8.0.0
,,,,,,,14-10-2025,System.IO.Pipelines,8.0.0
,,,,,,,14-10-2025,System.Security.Cryptography.Pkcs,8.0.0
